"Translaton between Mod1 Outputs and PV names generates read1400coils.substitutions",,,,,,
"IOC Offset",".DESC field","IOC PV Name","Meaning of 1 State","Meaning of 0 State","Modicon Output #",Alias
850,"Beam Off B PB One-shot","CYC:BeamoffBPBOneShot:Status","One","Zero",851,"MOD1:Coil0851:Read"
851,"xx","CoilBlank0852","One","Zero",852,"MOD1:Coil0852:Read"
852,"xx","CoilBlank0853","One","Zero",853,"MOD1:Coil0853:Read"
853,"xx","CoilBlank0854","One","Zero",854,"MOD1:Coil0854:Read"
854,"xx","CoilBlank0855","One","Zero",855,"MOD1:Coil0855:Read"
855,"xx","CoilBlank0856","One","Zero",856,"MOD1:Coil0856:Read"
856,"xx","CoilBlank0857","One","Zero",857,"MOD1:Coil0857:Read"
857,"xx","CoilBlank0858","One","Zero",858,"MOD1:Coil0858:Read"
858,"xx","CoilBlank0859","One","Zero",859,"MOD1:Coil0859:Read"
859,"xx","CoilBlank0860","One","Zero",860,"MOD1:Coil0860:Read"
860,"xx","CoilBlank0861","One","Zero",861,"MOD1:Coil0861:Read"
861,"xx","CoilBlank0862","One","Zero",862,"MOD1:Coil0862:Read"
862,"xx","CoilBlank0863","One","Zero",863,"MOD1:Coil0863:Read"
863,"xx","CoilBlank0864","One","Zero",864,"MOD1:Coil0864:Read"
864,"xx","CoilBlank0865","One","Zero",865,"MOD1:Coil0865:Read"
865,"xx","CoilBlank0866","One","Zero",866,"MOD1:Coil0866:Read"
866,"xx","CoilBlank0867","One","Zero",867,"MOD1:Coil0867:Read"
867,"xx","CoilBlank0868","One","Zero",868,"MOD1:Coil0868:Read"
868,"xx","CoilBlank0869","One","Zero",869,"MOD1:Coil0869:Read"
869,"xx","CoilBlank0870","One","Zero",870,"MOD1:Coil0870:Read"
870,"xx","CoilBlank0871","One","Zero",871,"MOD1:Coil0871:Read"
871,"xx","CoilBlank0872","One","Zero",872,"MOD1:Coil0872:Read"
872,"xx","CoilBlank0873","One","Zero",873,"MOD1:Coil0873:Read"
873,"xx","CoilBlank0874","One","Zero",874,"MOD1:Coil0874:Read"
874,"xx","CoilBlank0875","One","Zero",875,"MOD1:Coil0875:Read"
875,"xx","CoilBlank0876","One","Zero",876,"MOD1:Coil0876:Read"
876,"xx","CoilBlank0877","One","Zero",877,"MOD1:Coil0877:Read"
877,"xx","CoilBlank0878","One","Zero",878,"MOD1:Coil0878:Read"
878,"xx","CoilBlank0879","One","Zero",879,"MOD1:Coil0879:Read"
879,"xx","CoilBlank0880","One","Zero",880,"MOD1:Coil0880:Read"
880,"xx","CoilBlank0881","One","Zero",881,"MOD1:Coil0881:Read"
881,"xx","CoilBlank0882","One","Zero",882,"MOD1:Coil0882:Read"
882,"xx","CoilBlank0883","One","Zero",883,"MOD1:Coil0883:Read"
883,"xx","CoilBlank0884","One","Zero",884,"MOD1:Coil0884:Read"
884,"xx","CoilBlank0885","One","Zero",885,"MOD1:Coil0885:Read"
885,"xx","CoilBlank0886","One","Zero",886,"MOD1:Coil0886:Read"
886,"xx","CoilBlank0887","One","Zero",887,"MOD1:Coil0887:Read"
887,"xx","CoilBlank0888","One","Zero",888,"MOD1:Coil0888:Read"
888,"xx","CoilBlank0889","One","Zero",889,"MOD1:Coil0889:Read"
889,"xx","CoilBlank0890","One","Zero",890,"MOD1:Coil0890:Read"
890,"xx","CoilBlank0891","One","Zero",891,"MOD1:Coil0891:Read"
891,"xx","CoilBlank0892","One","Zero",892,"MOD1:Coil0892:Read"
892,"xx","CoilBlank0893","One","Zero",893,"MOD1:Coil0893:Read"
893,"xx","CoilBlank0894","One","Zero",894,"MOD1:Coil0894:Read"
894,"xx","CoilBlank0895","One","Zero",895,"MOD1:Coil0895:Read"
895,"xx","CoilBlank0896","One","Zero",896,"MOD1:Coil0896:Read"
896,"xx","CoilBlank0897","One","Zero",897,"MOD1:Coil0897:Read"
897,"xx","CoilBlank0898","One","Zero",898,"MOD1:Coil0898:Read"
898,"xx","CoilBlank0899","One","Zero",899,"MOD1:Coil0899:Read"
899,"Therapy Sum Relay A Inconsistent 1","CYC:TherapySumRelayA1Incon:Status","Inconsistent","Not Inconsistent",900,"MOD1:Coil0900:Read"
900,"Therapy Sum Relay A Inconsistent 2","CYC:TherapySumRelayA2Incon:Status","Inconsistent","Not Inconsistent",901,"MOD1:Coil0901:Read"
901,"Therapy Sum Relay A Not Consistent","CYC:TherapySumRelayANotCon:Status","Not Consistent","Inconsistent",902,"MOD1:Coil0902:Read"
902,"Therapy Sum Relay B Inconsistent 1","CYC:TherapySumRelayB1Incon:Status","Inconsistent","Not Inconsistent",903,"MOD1:Coil0903:Read"
903,"Therapy Sum Relay B Inconsistent 2","CYC:TherapySumRelayB2Incon:Status","Inconsistent","Not Inconsistent",904,"MOD1:Coil0904:Read"
904,"Therapy Sum Relay B Not Consistent","CYC:TherapySumRelayBNotCon:Status","Not Consistent","Inconsistent",905,"MOD1:Coil0905:Read"
905,"Beamplug A Inconsistent","CYC:BeamPlugAIncon:Status","Inconsistent","Not Inconsistent",906,"MOD1:Coil0906:Read"
906,"Drawer A Inconsistent","CYC:DrawerAInconsist:Status","Inconsistent","Not Inconsistent",907,"MOD1:Coil0907:Read"
907,"Glass Stop A Inconsistent","CYC:GlassStopAIncon:Status","Inconsistent","Not Inconsistent",908,"MOD1:Coil0908:Read"
908,"Beam Path A Inconsistent","CYC:BeamPathAIncon:Status","Inconsistent","Not Inconsistent",909,"MOD1:Coil0909:Read"
909,"Beam Path A Error Detected","CYC:BeamPathAError:Status","Error","No Error",910,"MOD1:Coil0910:Read"
910,"Beam Path A Warning Timer Out","CYC:BeamPathAWarningTO:Status","One","Zero",911,"MOD1:Coil0911:Read"
911,"Beamplug B Inconsistent","CYC:BeamPlugBIncon:Status","Inconsistent","Not Inconsistent",912,"MOD1:Coil0912:Read"
912,"Drawer B Inconsistent","CYC:DrawerBInconsist:Status","Inconsistent","Not Inconsistent",913,"MOD1:Coil0913:Read"
913,"Glass Stop B Inconsistent","CYC:GlassStopBIncon:Status","Inconsistent","Not Inconsistent",914,"MOD1:Coil0914:Read"
914,"Beam Path B Inconsistent","CYC:BeamPathBIncon:Status","Inconsistent","Not Inconsistent",915,"MOD1:Coil0915:Read"
915,"Beam Path B Error Detected","CYC:BeamPathBError:Status","Error","No Error",916,"MOD1:Coil0916:Read"
916,"Beam Path B Warning Timer Out","CYC:BeamPathBWarningTO:Status","One","Zero",917,"MOD1:Coil0917:Read"
917,"Watchdog A Interval Signal","CYC:WatchdogAIntervalSignal:Status","One","Zero",918,"MOD1:Coil0918:Read"
918,"Therapy Motions A Disabled","CYC:TherapyMotionsADisabled:Status","Disabled","Not Disabled",919,"MOD1:Coil0919:Read"
919,"xx","CoilBlank0920","One","Zero",920,"MOD1:Coil0920:Read"
920,"xx","CoilBlank0921","One","Zero",921,"MOD1:Coil0921:Read"
921,"xx","CoilBlank0922","One","Zero",922,"MOD1:Coil0922:Read"
922,"xx","CoilBlank0923","One","Zero",923,"MOD1:Coil0923:Read"
923,"xx","CoilBlank0924","One","Zero",924,"MOD1:Coil0924:Read"
924,"xx","CoilBlank0925","One","Zero",925,"MOD1:Coil0925:Read"
925,"xx","CoilBlank0926","One","Zero",926,"MOD1:Coil0926:Read"
926,"xx","CoilBlank0927","One","Zero",927,"MOD1:Coil0927:Read"
927,"xx","CoilBlank0928","One","Zero",928,"MOD1:Coil0928:Read"
928,"xx","CoilBlank0929","One","Zero",929,"MOD1:Coil0929:Read"
929,"xx","CoilBlank0930","One","Zero",930,"MOD1:Coil0930:Read"
930,"xx","CoilBlank0931","One","Zero",931,"MOD1:Coil0931:Read"
931,"xx","CoilBlank0932","One","Zero",932,"MOD1:Coil0932:Read"
932,"xx","CoilBlank0933","One","Zero",933,"MOD1:Coil0933:Read"
933,"xx","CoilBlank0934","One","Zero",934,"MOD1:Coil0934:Read"
934,"xx","CoilBlank0935","One","Zero",935,"MOD1:Coil0935:Read"
935,"xx","CoilBlank0936","One","Zero",936,"MOD1:Coil0936:Read"
936,"xx","CoilBlank0937","One","Zero",937,"MOD1:Coil0937:Read"
937,"xx","CoilBlank0938","One","Zero",938,"MOD1:Coil0938:Read"
938,"xx","CoilBlank0939","One","Zero",939,"MOD1:Coil0939:Read"
939,"xx","CoilBlank0940","One","Zero",940,"MOD1:Coil0940:Read"
940,"xx","CoilBlank0941","One","Zero",941,"MOD1:Coil0941:Read"
941,"xx","CoilBlank0942","One","Zero",942,"MOD1:Coil0942:Read"
942,"xx","CoilBlank0943","One","Zero",943,"MOD1:Coil0943:Read"
943,"xx","CoilBlank0944","One","Zero",944,"MOD1:Coil0944:Read"
944,"xx","CoilBlank0945","One","Zero",945,"MOD1:Coil0945:Read"
945,"xx","CoilBlank0946","One","Zero",946,"MOD1:Coil0946:Read"
946,"xx","CoilBlank0947","One","Zero",947,"MOD1:Coil0947:Read"
947,"xx","CoilBlank0948","One","Zero",948,"MOD1:Coil0948:Read"
948,"xx","CoilBlank0949","One","Zero",949,"MOD1:Coil0949:Read"
949,"xx","CoilBlank0950","One","Zero",950,"MOD1:Coil0950:Read"
950,"xx","CoilBlank0951","One","Zero",951,"MOD1:Coil0951:Read"
951,"xx","CoilBlank0952","One","Zero",952,"MOD1:Coil0952:Read"
952,"xx","CoilBlank0953","One","Zero",953,"MOD1:Coil0953:Read"
953,"xx","CoilBlank0954","One","Zero",954,"MOD1:Coil0954:Read"
954,"xx","CoilBlank0955","One","Zero",955,"MOD1:Coil0955:Read"
955,"xx","CoilBlank0956","One","Zero",956,"MOD1:Coil0956:Read"
956,"xx","CoilBlank0957","One","Zero",957,"MOD1:Coil0957:Read"
957,"xx","CoilBlank0958","One","Zero",958,"MOD1:Coil0958:Read"
958,"xx","CoilBlank0959","One","Zero",959,"MOD1:Coil0959:Read"
959,"xx","CoilBlank0960","One","Zero",960,"MOD1:Coil0960:Read"
960,"xx","CoilBlank0961","One","Zero",961,"MOD1:Coil0961:Read"
961,"xx","CoilBlank0962","One","Zero",962,"MOD1:Coil0962:Read"
962,"xx","CoilBlank0963","One","Zero",963,"MOD1:Coil0963:Read"
963,"xx","CoilBlank0964","One","Zero",964,"MOD1:Coil0964:Read"
964,"xx","CoilBlank0965","One","Zero",965,"MOD1:Coil0965:Read"
965,"xx","CoilBlank0966","One","Zero",966,"MOD1:Coil0966:Read"
966,"xx","CoilBlank0967","One","Zero",967,"MOD1:Coil0967:Read"
967,"xx","CoilBlank0968","One","Zero",968,"MOD1:Coil0968:Read"
968,"xx","CoilBlank0969","One","Zero",969,"MOD1:Coil0969:Read"
969,"xx","CoilBlank0970","One","Zero",970,"MOD1:Coil0970:Read"
970,"xx","CoilBlank0971","One","Zero",971,"MOD1:Coil0971:Read"
971,"xx","CoilBlank0972","One","Zero",972,"MOD1:Coil0972:Read"
972,"xx","CoilBlank0973","One","Zero",973,"MOD1:Coil0973:Read"
973,"xx","CoilBlank0974","One","Zero",974,"MOD1:Coil0974:Read"
974,"xx","CoilBlank0975","One","Zero",975,"MOD1:Coil0975:Read"
975,"xx","CoilBlank0976","One","Zero",976,"MOD1:Coil0976:Read"
976,"xx","CoilBlank0977","One","Zero",977,"MOD1:Coil0977:Read"
977,"xx","CoilBlank0978","One","Zero",978,"MOD1:Coil0978:Read"
978,"xx","CoilBlank0979","One","Zero",979,"MOD1:Coil0979:Read"
979,"xx","CoilBlank0980","One","Zero",980,"MOD1:Coil0980:Read"
980,"xx","CoilBlank0981","One","Zero",981,"MOD1:Coil0981:Read"
981,"xx","CoilBlank0982","One","Zero",982,"MOD1:Coil0982:Read"
982,"xx","CoilBlank0983","One","Zero",983,"MOD1:Coil0983:Read"
983,"xx","CoilBlank0984","One","Zero",984,"MOD1:Coil0984:Read"
984,"xx","CoilBlank0985","One","Zero",985,"MOD1:Coil0985:Read"
985,"xx","CoilBlank0986","One","Zero",986,"MOD1:Coil0986:Read"
986,"xx","CoilBlank0987","One","Zero",987,"MOD1:Coil0987:Read"
987,"xx","CoilBlank0988","One","Zero",988,"MOD1:Coil0988:Read"
988,"xx","CoilBlank0989","One","Zero",989,"MOD1:Coil0989:Read"
989,"xx","CoilBlank0990","One","Zero",990,"MOD1:Coil0990:Read"
990,"xx","CoilBlank0991","One","Zero",991,"MOD1:Coil0991:Read"
991,"xx","CoilBlank0992","One","Zero",992,"MOD1:Coil0992:Read"
992,"xx","CoilBlank0993","One","Zero",993,"MOD1:Coil0993:Read"
993,"xx","CoilBlank0994","One","Zero",994,"MOD1:Coil0994:Read"
994,"xx","CoilBlank0995","One","Zero",995,"MOD1:Coil0995:Read"
995,"xx","CoilBlank0996","One","Zero",996,"MOD1:Coil0996:Read"
996,"xx","CoilBlank0997","One","Zero",997,"MOD1:Coil0997:Read"
997,"xx","CoilBlank0998","One","Zero",998,"MOD1:Coil0998:Read"
998,"xx","CoilBlank0999","One","Zero",999,"MOD1:Coil0999:Read"
999,"xx","CoilBlank1000","One","Zero",1000,"MOD1:Coil1000:Read"
1000,"xx","CoilBlank1001","One","Zero",1001,"MOD1:Coil1001:Read"
1001,"xx","CoilBlank1002","One","Zero",1002,"MOD1:Coil1002:Read"
1002,"xx","CoilBlank1003","One","Zero",1003,"MOD1:Coil1003:Read"
1003,"xx","CoilBlank1004","One","Zero",1004,"MOD1:Coil1004:Read"
1004,"xx","CoilBlank1005","One","Zero",1005,"MOD1:Coil1005:Read"
1005,"xx","CoilBlank1006","One","Zero",1006,"MOD1:Coil1006:Read"
1006,"xx","CoilBlank1007","One","Zero",1007,"MOD1:Coil1007:Read"
1007,"xx","CoilBlank1008","One","Zero",1008,"MOD1:Coil1008:Read"
1008,"xx","CoilBlank1009","One","Zero",1009,"MOD1:Coil1009:Read"
1009,"xx","CoilBlank1010","One","Zero",1010,"MOD1:Coil1010:Read"
1010,"xx","CoilBlank1011","One","Zero",1011,"MOD1:Coil1011:Read"
1011,"xx","CoilBlank1012","One","Zero",1012,"MOD1:Coil1012:Read"
1012,"xx","CoilBlank1013","One","Zero",1013,"MOD1:Coil1013:Read"
1013,"xx","CoilBlank1014","One","Zero",1014,"MOD1:Coil1014:Read"
1014,"xx","CoilBlank1015","One","Zero",1015,"MOD1:Coil1015:Read"
1015,"xx","CoilBlank1016","One","Zero",1016,"MOD1:Coil1016:Read"
1016,"xx","CoilBlank1017","One","Zero",1017,"MOD1:Coil1017:Read"
1017,"xx","CoilBlank1018","One","Zero",1018,"MOD1:Coil1018:Read"
1018,"xx","CoilBlank1019","One","Zero",1019,"MOD1:Coil1019:Read"
1019,"xx","CoilBlank1020","One","Zero",1020,"MOD1:Coil1020:Read"
1020,"xx","CoilBlank1021","One","Zero",1021,"MOD1:Coil1021:Read"
1021,"xx","CoilBlank1022","One","Zero",1022,"MOD1:Coil1022:Read"
1022,"xx","CoilBlank1023","One","Zero",1023,"MOD1:Coil1023:Read"
1023,"xx","CoilBlank1024","One","Zero",1024,"MOD1:Coil1024:Read"
1024,"xx","CoilBlank1025","One","Zero",1025,"MOD1:Coil1025:Read"
1025,"xx","CoilBlank1026","One","Zero",1026,"MOD1:Coil1026:Read"
1026,"xx","CoilBlank1027","One","Zero",1027,"MOD1:Coil1027:Read"
1027,"xx","CoilBlank1028","One","Zero",1028,"MOD1:Coil1028:Read"
1028,"xx","CoilBlank1029","One","Zero",1029,"MOD1:Coil1029:Read"
1029,"xx","CoilBlank1030","One","Zero",1030,"MOD1:Coil1030:Read"
1030,"xx","CoilBlank1031","One","Zero",1031,"MOD1:Coil1031:Read"
1031,"xx","CoilBlank1032","One","Zero",1032,"MOD1:Coil1032:Read"
1032,"xx","CoilBlank1033","One","Zero",1033,"MOD1:Coil1033:Read"
1033,"xx","CoilBlank1034","One","Zero",1034,"MOD1:Coil1034:Read"
1034,"xx","CoilBlank1035","One","Zero",1035,"MOD1:Coil1035:Read"
1035,"xx","CoilBlank1036","One","Zero",1036,"MOD1:Coil1036:Read"
1036,"xx","CoilBlank1037","One","Zero",1037,"MOD1:Coil1037:Read"
1037,"xx","CoilBlank1038","One","Zero",1038,"MOD1:Coil1038:Read"
1038,"xx","CoilBlank1039","One","Zero",1039,"MOD1:Coil1039:Read"
1039,"xx","CoilBlank1040","One","Zero",1040,"MOD1:Coil1040:Read"
1040,"xx","CoilBlank1041","One","Zero",1041,"MOD1:Coil1041:Read"
1041,"xx","CoilBlank1042","One","Zero",1042,"MOD1:Coil1042:Read"
1042,"xx","CoilBlank1043","One","Zero",1043,"MOD1:Coil1043:Read"
1043,"xx","CoilBlank1044","One","Zero",1044,"MOD1:Coil1044:Read"
1044,"xx","CoilBlank1045","One","Zero",1045,"MOD1:Coil1045:Read"
1045,"xx","CoilBlank1046","One","Zero",1046,"MOD1:Coil1046:Read"
1046,"xx","CoilBlank1047","One","Zero",1047,"MOD1:Coil1047:Read"
1047,"xx","CoilBlank1048","One","Zero",1048,"MOD1:Coil1048:Read"
1048,"xx","CoilBlank1049","One","Zero",1049,"MOD1:Coil1049:Read"
1049,"xx","CoilBlank1050","One","Zero",1050,"MOD1:Coil1050:Read"
1050,"xx","CoilBlank1051","One","Zero",1051,"MOD1:Coil1051:Read"
1051,"xx","CoilBlank1052","One","Zero",1052,"MOD1:Coil1052:Read"
1052,"xx","CoilBlank1053","One","Zero",1053,"MOD1:Coil1053:Read"
1053,"xx","CoilBlank1054","One","Zero",1054,"MOD1:Coil1054:Read"
1054,"xx","CoilBlank1055","One","Zero",1055,"MOD1:Coil1055:Read"
1055,"xx","CoilBlank1056","One","Zero",1056,"MOD1:Coil1056:Read"
1056,"xx","CoilBlank1057","One","Zero",1057,"MOD1:Coil1057:Read"
1057,"xx","CoilBlank1058","One","Zero",1058,"MOD1:Coil1058:Read"
1058,"xx","CoilBlank1059","One","Zero",1059,"MOD1:Coil1059:Read"
1059,"xx","CoilBlank1060","One","Zero",1060,"MOD1:Coil1060:Read"
1060,"xx","CoilBlank1061","One","Zero",1061,"MOD1:Coil1061:Read"
1061,"xx","CoilBlank1062","One","Zero",1062,"MOD1:Coil1062:Read"
1062,"xx","CoilBlank1063","One","Zero",1063,"MOD1:Coil1063:Read"
1063,"xx","CoilBlank1064","One","Zero",1064,"MOD1:Coil1064:Read"
1064,"xx","CoilBlank1065","One","Zero",1065,"MOD1:Coil1065:Read"
1065,"xx","CoilBlank1066","One","Zero",1066,"MOD1:Coil1066:Read"
1066,"xx","CoilBlank1067","One","Zero",1067,"MOD1:Coil1067:Read"
1067,"xx","CoilBlank1068","One","Zero",1068,"MOD1:Coil1068:Read"
1068,"xx","CoilBlank1069","One","Zero",1069,"MOD1:Coil1069:Read"
1069,"xx","CoilBlank1070","One","Zero",1070,"MOD1:Coil1070:Read"
1070,"xx","CoilBlank1071","One","Zero",1071,"MOD1:Coil1071:Read"
1071,"xx","CoilBlank1072","One","Zero",1072,"MOD1:Coil1072:Read"
1072,"xx","CoilBlank1073","One","Zero",1073,"MOD1:Coil1073:Read"
1073,"xx","CoilBlank1074","One","Zero",1074,"MOD1:Coil1074:Read"
1074,"xx","CoilBlank1075","One","Zero",1075,"MOD1:Coil1075:Read"
1075,"xx","CoilBlank1076","One","Zero",1076,"MOD1:Coil1076:Read"
1076,"xx","CoilBlank1077","One","Zero",1077,"MOD1:Coil1077:Read"
1077,"xx","CoilBlank1078","One","Zero",1078,"MOD1:Coil1078:Read"
1078,"xx","CoilBlank1079","One","Zero",1079,"MOD1:Coil1079:Read"
1079,"xx","CoilBlank1080","One","Zero",1080,"MOD1:Coil1080:Read"
1080,"xx","CoilBlank1081","One","Zero",1081,"MOD1:Coil1081:Read"
1081,"xx","CoilBlank1082","One","Zero",1082,"MOD1:Coil1082:Read"
1082,"xx","CoilBlank1083","One","Zero",1083,"MOD1:Coil1083:Read"
1083,"xx","CoilBlank1084","One","Zero",1084,"MOD1:Coil1084:Read"
1084,"xx","CoilBlank1085","One","Zero",1085,"MOD1:Coil1085:Read"
1085,"xx","CoilBlank1086","One","Zero",1086,"MOD1:Coil1086:Read"
1086,"xx","CoilBlank1087","One","Zero",1087,"MOD1:Coil1087:Read"
1087,"xx","CoilBlank1088","One","Zero",1088,"MOD1:Coil1088:Read"
1088,"xx","CoilBlank1089","One","Zero",1089,"MOD1:Coil1089:Read"
1089,"xx","CoilBlank1090","One","Zero",1090,"MOD1:Coil1090:Read"
1090,"xx","CoilBlank1091","One","Zero",1091,"MOD1:Coil1091:Read"
1091,"xx","CoilBlank1092","One","Zero",1092,"MOD1:Coil1092:Read"
1092,"xx","CoilBlank1093","One","Zero",1093,"MOD1:Coil1093:Read"
1093,"xx","CoilBlank1094","One","Zero",1094,"MOD1:Coil1094:Read"
1094,"xx","CoilBlank1095","One","Zero",1095,"MOD1:Coil1095:Read"
1095,"xx","CoilBlank1096","One","Zero",1096,"MOD1:Coil1096:Read"
1096,"xx","CoilBlank1097","One","Zero",1097,"MOD1:Coil1097:Read"
1097,"xx","CoilBlank1098","One","Zero",1098,"MOD1:Coil1098:Read"
1098,"xx","CoilBlank1099","One","Zero",1099,"MOD1:Coil1099:Read"
1099,"xx","CoilBlank1100","One","Zero",1100,"MOD1:Coil1100:Read"
1100,"xx","CoilBlank1101","One","Zero",1101,"MOD1:Coil1101:Read"
1101,"xx","CoilBlank1102","One","Zero",1102,"MOD1:Coil1102:Read"
1102,"xx","CoilBlank1103","One","Zero",1103,"MOD1:Coil1103:Read"
1103,"xx","CoilBlank1104","One","Zero",1104,"MOD1:Coil1104:Read"
1104,"xx","CoilBlank1105","One","Zero",1105,"MOD1:Coil1105:Read"
1105,"xx","CoilBlank1106","One","Zero",1106,"MOD1:Coil1106:Read"
1106,"xx","CoilBlank1107","One","Zero",1107,"MOD1:Coil1107:Read"
1107,"xx","CoilBlank1108","One","Zero",1108,"MOD1:Coil1108:Read"
1108,"xx","CoilBlank1109","One","Zero",1109,"MOD1:Coil1109:Read"
1109,"xx","CoilBlank1110","One","Zero",1110,"MOD1:Coil1110:Read"
1110,"xx","CoilBlank1111","One","Zero",1111,"MOD1:Coil1111:Read"
1111,"xx","CoilBlank1112","One","Zero",1112,"MOD1:Coil1112:Read"
1112,"xx","CoilBlank1113","One","Zero",1113,"MOD1:Coil1113:Read"
1113,"xx","CoilBlank1114","One","Zero",1114,"MOD1:Coil1114:Read"
1114,"xx","CoilBlank1115","One","Zero",1115,"MOD1:Coil1115:Read"
1115,"xx","CoilBlank1116","One","Zero",1116,"MOD1:Coil1116:Read"
1116,"xx","CoilBlank1117","One","Zero",1117,"MOD1:Coil1117:Read"
1117,"xx","CoilBlank1118","One","Zero",1118,"MOD1:Coil1118:Read"
1118,"xx","CoilBlank1119","One","Zero",1119,"MOD1:Coil1119:Read"
1119,"xx","CoilBlank1120","One","Zero",1120,"MOD1:Coil1120:Read"
1120,"xx","CoilBlank1121","One","Zero",1121,"MOD1:Coil1121:Read"
1121,"xx","CoilBlank1122","One","Zero",1122,"MOD1:Coil1122:Read"
1122,"xx","CoilBlank1123","One","Zero",1123,"MOD1:Coil1123:Read"
1123,"xx","CoilBlank1124","One","Zero",1124,"MOD1:Coil1124:Read"
1124,"xx","CoilBlank1125","One","Zero",1125,"MOD1:Coil1125:Read"
1125,"xx","CoilBlank1126","One","Zero",1126,"MOD1:Coil1126:Read"
1126,"xx","CoilBlank1127","One","Zero",1127,"MOD1:Coil1127:Read"
1127,"xx","CoilBlank1128","One","Zero",1128,"MOD1:Coil1128:Read"
1128,"xx","CoilBlank1129","One","Zero",1129,"MOD1:Coil1129:Read"
1129,"xx","CoilBlank1130","One","Zero",1130,"MOD1:Coil1130:Read"
1130,"xx","CoilBlank1131","One","Zero",1131,"MOD1:Coil1131:Read"
1131,"xx","CoilBlank1132","One","Zero",1132,"MOD1:Coil1132:Read"
1132,"xx","CoilBlank1133","One","Zero",1133,"MOD1:Coil1133:Read"
1133,"xx","CoilBlank1134","One","Zero",1134,"MOD1:Coil1134:Read"
1134,"xx","CoilBlank1135","One","Zero",1135,"MOD1:Coil1135:Read"
1135,"xx","CoilBlank1136","One","Zero",1136,"MOD1:Coil1136:Read"
1136,"xx","CoilBlank1137","One","Zero",1137,"MOD1:Coil1137:Read"
1137,"xx","CoilBlank1138","One","Zero",1138,"MOD1:Coil1138:Read"
1138,"xx","CoilBlank1139","One","Zero",1139,"MOD1:Coil1139:Read"
1139,"xx","CoilBlank1140","One","Zero",1140,"MOD1:Coil1140:Read"
1140,"xx","CoilBlank1141","One","Zero",1141,"MOD1:Coil1141:Read"
1141,"xx","CoilBlank1142","One","Zero",1142,"MOD1:Coil1142:Read"
1142,"xx","CoilBlank1143","One","Zero",1143,"MOD1:Coil1143:Read"
1143,"xx","CoilBlank1144","One","Zero",1144,"MOD1:Coil1144:Read"
1144,"xx","CoilBlank1145","One","Zero",1145,"MOD1:Coil1145:Read"
1145,"xx","CoilBlank1146","One","Zero",1146,"MOD1:Coil1146:Read"
1146,"xx","CoilBlank1147","One","Zero",1147,"MOD1:Coil1147:Read"
1147,"xx","CoilBlank1148","One","Zero",1148,"MOD1:Coil1148:Read"
1148,"xx","CoilBlank1149","One","Zero",1149,"MOD1:Coil1149:Read"
1149,"xx","CoilBlank1150","One","Zero",1150,"MOD1:Coil1150:Read"
1150,"xx","CoilBlank1151","One","Zero",1151,"MOD1:Coil1151:Read"
1151,"xx","CoilBlank1152","One","Zero",1152,"MOD1:Coil1152:Read"
1152,"xx","CoilBlank1153","One","Zero",1153,"MOD1:Coil1153:Read"
1153,"xx","CoilBlank1154","One","Zero",1154,"MOD1:Coil1154:Read"
1154,"xx","CoilBlank1155","One","Zero",1155,"MOD1:Coil1155:Read"
1155,"xx","CoilBlank1156","One","Zero",1156,"MOD1:Coil1156:Read"
1156,"xx","CoilBlank1157","One","Zero",1157,"MOD1:Coil1157:Read"
1157,"xx","CoilBlank1158","One","Zero",1158,"MOD1:Coil1158:Read"
1158,"xx","CoilBlank1159","One","Zero",1159,"MOD1:Coil1159:Read"
1159,"xx","CoilBlank1160","One","Zero",1160,"MOD1:Coil1160:Read"
1160,"xx","CoilBlank1161","One","Zero",1161,"MOD1:Coil1161:Read"
1161,"xx","CoilBlank1162","One","Zero",1162,"MOD1:Coil1162:Read"
1162,"xx","CoilBlank1163","One","Zero",1163,"MOD1:Coil1163:Read"
1163,"xx","CoilBlank1164","One","Zero",1164,"MOD1:Coil1164:Read"
1164,"xx","CoilBlank1165","One","Zero",1165,"MOD1:Coil1165:Read"
1165,"xx","CoilBlank1166","One","Zero",1166,"MOD1:Coil1166:Read"
1166,"xx","CoilBlank1167","One","Zero",1167,"MOD1:Coil1167:Read"
1167,"xx","CoilBlank1168","One","Zero",1168,"MOD1:Coil1168:Read"
1168,"xx","CoilBlank1169","One","Zero",1169,"MOD1:Coil1169:Read"
1169,"xx","CoilBlank1170","One","Zero",1170,"MOD1:Coil1170:Read"
1170,"xx","CoilBlank1171","One","Zero",1171,"MOD1:Coil1171:Read"
1171,"xx","CoilBlank1172","One","Zero",1172,"MOD1:Coil1172:Read"
1172,"xx","CoilBlank1173","One","Zero",1173,"MOD1:Coil1173:Read"
1173,"xx","CoilBlank1174","One","Zero",1174,"MOD1:Coil1174:Read"
1174,"xx","CoilBlank1175","One","Zero",1175,"MOD1:Coil1175:Read"
1175,"xx","CoilBlank1176","One","Zero",1176,"MOD1:Coil1176:Read"
1176,"xx","CoilBlank1177","One","Zero",1177,"MOD1:Coil1177:Read"
1177,"xx","CoilBlank1178","One","Zero",1178,"MOD1:Coil1178:Read"
1178,"xx","CoilBlank1179","One","Zero",1179,"MOD1:Coil1179:Read"
1179,"xx","CoilBlank1180","One","Zero",1180,"MOD1:Coil1180:Read"
1180,"xx","CoilBlank1181","One","Zero",1181,"MOD1:Coil1181:Read"
